shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
2_shp,38.043959999999998,-84.496369999999999,1,0.0
2_shp,38.041930000000001,-84.494079999999997,2,990.68198099999995
2_shp,38.041420000000002,-84.494619999999998,3,1232.921476
2_shp,38.041029999999999,-84.495170000000002,4,1445.6698899999999
2_shp,38.040869999999998,-84.495410000000007,5,1536.072674
2_shp,38.040869999999998,-84.495410000000007,6,1536.072674
2_shp,38.04081,-84.495500000000007,7,1569.9737479999999
2_shp,38.040289999999999,-84.496250000000003,8,1857.2315189999999
2_shp,38.0398,-84.496889999999993,9,2113.7790110000001
2_shp,38.0398,-84.496889999999993,10,2113.7790110000001
2_shp,38.03783,-84.499809999999997,11,3219.1936369999999
2_shp,38.037179999999999,-84.499099999999999,12,3531.9989169999999
2_shp,38.037179999999999,-84.499099999999999,13,3531.9989169999999
2_shp,38.034559999999999,-84.496129999999994,14,4813.4381670000002
2_shp,38.034559999999999,-84.496129999999994,15,4813.4381670000002
2_shp,38.03322,-84.494600000000005,16,5470.9563360000002
2_shp,38.03322,-84.494600000000005,17,5470.9563360000002
2_shp,38.030369999999998,-84.491410000000002,18,6857.1187630000004
2_shp,38.030369999999998,-84.491410000000002,19,6857.1187630000004
2_shp,38.029640000000001,-84.490639999999999,20,7203.3326479999996
2_shp,38.029359999999997,-84.490260000000006,21,7352.926066
2_shp,38.029319999999998,-84.490020000000001,22,7423.5758889999997
2_shp,38.029319999999998,-84.489469999999997,23,7582.0030999999999
2_shp,38.02928,-84.489199999999997,24,7661.128839
2_shp,38.029170000000001,-84.488839999999996,25,7772.2949570000001
2_shp,38.029170000000001,-84.488839999999996,26,7772.2949570000001
2_shp,38.028030000000001,-84.487049999999996,27,8434.2646420000001
2_shp,38.027459999999998,-84.485749999999996,28,8862.4189779999997
2_shp,38.027459999999998,-84.485749999999996,29,8862.4189779999997
2_shp,38.027009999999997,-84.484840000000005,30,9171.5596409999998
2_shp,38.025669999999998,-84.482529999999997,31,9996.7316009999995
2_shp,38.025669999999998,-84.482529999999997,32,9996.7316009999995
2_shp,38.024650000000001,-84.480840000000001,33,10609.085304
2_shp,38.023679999999999,-84.47945,34,11143.043086
2_shp,38.023679999999999,-84.47945,35,11143.043086
2_shp,38.023519999999998,-84.479219999999998,36,11231.274976000001
2_shp,38.022599999999997,-84.477950000000007,37,11727.353858
2_shp,38.02196,-84.476839999999996,38,12123.041836
2_shp,38.02196,-84.476839999999996,39,12123.041836
2_shp,38.021459999999998,-84.475980000000007,40,12430.503757
2_shp,38.019629999999999,-84.473410000000001,41,13426.630757999999
2_shp,38.019629999999999,-84.473410000000001,42,13426.630757999999
2_shp,38.017879999999998,-84.4709,43,14390.486196
2_shp,38.017879999999998,-84.4709,44,14390.486196
2_shp,38.01728,-84.468739999999997,45,15050.017297
2_shp,38.01726,-84.468320000000006,46,15171.236889
2_shp,38.017359999999996,-84.467910000000003,47,15294.842617
